id;name;sku;price;description;active;created_at;updated_at
1b44f541-5ab5-42f4-845d-6bb7cc66766f;RO;;0;;true;2026-05-12 21:22:38.037593+00;2026-05-12 21:22:38.037593+00
b945ae0b-5b59-4ee4-84e7-ca8f27c090f0;PC;;0;;true;2026-05-12 21:22:45.151303+00;2026-05-12 21:22:45.151303+00
b83f8daa-9d16-4315-b1b6-c72d37f403ba;EAC;;0;;true;2026-05-12 21:22:52.536154+00;2026-05-12 21:22:52.536154+00
5c0ff0c3-d03f-42dc-a7dc-e4f11d0351b4;UV;;0;;true;2026-05-12 21:23:00.84239+00;2026-05-12 21:23:00.84239+00
1153c187-559a-4a19-8cff-df74256657af;TIT;;0;;true;2026-05-12 21:23:13.551025+00;2026-05-12 21:23:13.551025+00
ea88aa16-d400-4e4d-9ed7-548c603815d2;Tannin;;0;;true;2026-05-12 21:23:31.706043+00;2026-05-12 21:23:31.706043+00
693f0c07-7348-4ac3-b2ce-81810ca1ce84;Whole Home RO;;0;;true;2026-05-12 21:23:43.375159+00;2026-05-12 21:23:43.375159+00
33e8282a-d2f0-48ff-9010-403d8a08523c;Arsenic System;;0;;true;2026-05-12 21:23:53.795016+00;2026-05-12 21:23:53.795016+00
0a2b2c01-dbe1-4427-ba75-5e02e47cdf61;Green Sand;;0;;true;2026-05-12 21:24:09.991484+00;2026-05-12 21:24:09.991484+00
197768ae-115b-4c3b-abb2-4b4d238d2d8e;Bag Filter;;0;;true;2026-05-12 21:24:25.533095+00;2026-05-12 21:24:25.533095+00
e00cabad-9bfd-46b6-b2d5-e5fbca2e8d44;Unlimited RO;;0;;true;2026-05-12 21:24:34.420227+00;2026-05-12 21:24:34.420227+00
650af31b-8bba-4652-b993-3dee6cf362e7;Mini PC;;0;;true;2026-05-12 21:24:44.473126+00;2026-05-12 21:24:44.473126+00
3009ee83-54ff-43e1-963d-e0b3060bdf68;Silver Eagle Re-furb;;0;;true;2026-05-12 21:24:54.506745+00;2026-05-12 21:24:54.506745+00